lv1,lv2,lv3,lv4,lv5,lv6,id
,,Uhren,,,,64140
,,,Armbanduhren,,,33134
,,,Taschenuhren,,,92930
,,,,Gold,,92931
,,,,Silber,,33133
,,,,Sonstige,,92932
,,,Uhrenketten,,,29048
,Antikspielzeug,,,,,25684
,,Baukästen,,,,31066
,,,Metall,,,26483
,,,Holz,,,33138
,,,Stein,,,26482
,,Blechspielzeug,,,,31068
,,,"Original, gefertigt vor 1945",,,147907
,,,,Autos & Busse,,25710
,,,,Dekoration,,25720
,,,,Ersatzteile,,25721
,,,,Figürlich,,25713
,,,,Flugzeuge & Zeppeline,,25712
,,,,Mechanisch,,25714
,,,,Militärspielzeug,,92933
,,,,Motorräder,,25717
,,,,Nutzfahrzeuge,,25718
,,,,Schiffe & U-Boote,,92934
,,,,Spardosen,,25719
,,,,Sonstige,,39071
,,,"Original, gefertigt 1945-1970",,,148482
,,,,Autos & Busse,,147921
,,,,Figürlich,,147922
,,,,Flugzeuge & Zeppeline,,147923
,,,,Mechanisch,,147924
,,,,Militärspielzeug,,147925
,,,,Motorräder,,147926
,,,,Nutzfahrzeuge,,147927
,,,,Schiffe & U-Boote,,147928
,,,,Spardosen,,147929
,,,,Sonstige,,147930
,,,Gefertigt nach 1970,,,147910
,,,,Autos & Busse,,147911
,,,,Figürlich,,147912
,,,,Flugzeuge & Zeppeline,,147913
,,,,Mechanisch,,147914
,,,,Militärspielzeug,,147915
,,,,Motorräder,,147916
,,,,Nutzfahrzeuge,,147917
,,,,Schiffe & U-Boote,,147918
,,,,Spardosen,,147919
,,,,Sonstige,,147920
,,Eisenbahn,,,,58789
,,,Spur H0,,,72606
,,,,Dekoration & Zubehör,,92935
,,,,Lokomotiven & Triebwagen,,58790
,,,,Gleisanlagen,,92936
,,,,Waggons,,169045
,,,,,Güterwaggons,169046
,,,,,Personenwaggons,169047
,,,,,Konvolute,72607
,,,,Sonstige,,72608
,,,Spur 1,,,58791
,,,Spur 0,,,92937
,,,,Dekoration & Zubehör,,92938
,,,,Lokomotiven & Triebwagen,,58792
,,,,Gleisanlagen,,92939
,,,,Waggons,,92940
,,,,Sonstige,,92941
,,,Spur N,,,58793
,,,Spur TT,,,58794
,,,Spur Z,,,58795
,,,Häuser & Bahnhöfe,,,58796
,,,Figuren,,,58797
,,,Zubehör,,,58798
,,,Sonstige,,,33139
,,Masse- & Kunststofffiguren,,,,147961
,,,Gefertigt vor 1945,,,147908
,,,,Bauernhof,,25725
,,,,Eisenbahn,,25726
,,,,Elastolin & Lineol,,72609
,,,,,Personen,25727
,,,,,Tiere,72610
,,,,,Sonstige,72611
,,,,Militär,,25728
,,,,Ritter & Römer,,25729
,,,,Tiere & Natur,,25730
,,,,Wildwest,,25731
,,,,Zivilfiguren,,25732
,,,,Sonstige,,25733
,,,Gefertigt nach 1945,,,147962
,,,,Bauernhof,,147963
,,,,Eisenbahn,,147964
,,,,Elastolin & Lineol,,147965
,,,,Militär,,147966
,,,,Ritter & Römer,,147967
,,,,Tiere & Natur,,147968
,,,,Wildwest,,147969
,,,,Zivilfiguren,,147970
,,,,Sonstige,,31070
,,Murmeln,,,,58799
,,Dampfspielzeug,,,,78310
,,,Gefertigt vor 1945,,,147931
,,,,Dampfmaschinen,,78311
,,,,Zubehör,,78312
,,,,Sonstige,,25722
,,,Gefertigt nach 1945,,,147932
,,,,Dampfmaschinen,,147934
,,,,Zubehör,,147935
,,,,Sonstige,,147933
,,Gesellschaftsspiele,,,,34411
,,,Gefertigt vor 1945,,,147936
,,,,Brett- & Würfelspiele,,25723
,,,,Kartenspiele,,34412
,,,,Sonstige,,33140
,,,Gefertigt nach 1945,,,147937
,,,,Brett- & Würfelspiele,,147938
,,,,Kartenspiele,,147939
,,,,Sonstige,,147940
,,Holzspielzeug,,,,147941
,,,Gefertigt vor 1945,,,25724
,,,Gefertigt nach 1945,,,147942
,,Modellbau,,,,81853
,,,Fahrzeuge,,,72612
,,,,Pkw,,44555
,,,,Nutz- & Transportfahrzeuge,,72613
,,,,Sonstige,,72614
,,,Flugzeuge,,,64141
,,,Schiffe,,,64142
,,,Sonstige,,,81854
,,Optisches Spielzeug,,,,75725
,,Puppen & Zubehör,,,,25734
,,,Ersatzteile & Puppenklinik,,,70114
,,,Holzpuppen,,,58800
,,,Kaufmannsläden & Zubehör,,,147943
,,,,"Original, gefertigt vor 1970",,58801
,,,,Nostalgieware nach 1970,,147944
,,,Käthe Kruse,,,147945
,,,,Gefertigt vor 1945,,147946
,,,,Gefertigt nach 1945,,25735
,,,Schildkröt,,,92947
,,,,Bären & Plüschtiere,,92948
,,,,Klassik-Kollektion,,25739
,,,,Künstlerpuppen,,92949
,,,,Spielpuppen,,92950
,,,,Sonstige,,92951
,,,Marionetten,,,58802
,,,Massepuppen,,,25736
,,,Minerva,,,25737
,,,Papiermaschee-Puppen,,,58803
,,,Porzellankopfpuppen,,,78319
,,,,Gefertigt vor 1945,,84621
,,,,Gefertigt nach 1945,,147960
,,,Puppenküchen & Zubehör,,,70115
,,,,"Original, gefertigt vor 1970",,147955
,,,,,Puppenküchen,70117
,,,,,Puppenherde,39072
,,,,,Zubehör,70116
,,,,"Nostalgieware, nach 1970",,147956
,,,,,Puppenküchen,147957
,,,,,Puppenherde,147958
,,,,,Zubehör,147959
,,,Puppenkleidung,,,78313
,,,,"Original, gefertigt vor 1970",,147947
,,,,,Accessoires,147948
,,,,,Kleidung,78316
,,,,,Kopfbedeckungen,147949
,,,,,Schuhe,78318
,,,,,Sonstige,25742
,,,,"Nostalgieware, nach 1970",,147950
,,,,,Accessoires,147951
,,,,,Kleidung,78317
,,,,,Kopfbedeckungen,147952
,,,,,Schuhe,147953
,,,,,Sonstige,147954
,,,Puppenstuben & -häuser,,,147971
,,,,"Original, gefertigt vor 1970",,147972
,,,,"Nostalgieware, nach 1970",,58804
,,,Puppenstubenzubehör,,,58805
,,,,"Original, gefertigt vor 1970",,147973
,,,,,Accessoires,58806
,,,,,Geschirr,58807
,,,,,Möbel,58809
,,,,,Puppen & Kleidung,147974
,,,,,Sonstige,25743
,,,,"Nostalgieware, nach 1970",,147975
,,,,,Accessoires,147976
,,,,,Geschirr,147977
,,,,,Möbel,147978
,,,,,Puppen & Kleidung,147979
,,,,,Sonstige,58808
,,,Puppenwagen,,,147980
,,,,"Original, gefertigt vor 1970",,147981
,,,,"Nostalgieware, nach 1970",,39073
,,,Stoffpuppen,,,25740
,,,Zelluloidpuppen,,,25741
,,,Sonstige,,,25744
,,Schaukelpferde,,,,19024
,,Stofftiere & Teddybären,,,,57564
,,,Teddybären,,,58810
,,,Stoff- & Plüschtiere,,,58811
,,,Sonstige,,,25745
,,Spielzeug-Literatur,,,,25746
,,,Alte Herstellerkataloge,,,25747
,,,Preiskataloge,,,25748
,,,Sammlerliteratur,,,25749
,,Steiff,,,,60831
,,,Vor 1947,,,64147
,,,1948-1976,,,64148
,,,1977-1990,,,64149
,,,Replikate & Sonderserien,,,64150
,,,Club-Editionen,,,64152
,,,Holz- & Blechspielzeug,,,64153
,,,Handpuppen,,,64154
,,,Puppen,,,60832
,,,Teddys,,,3912
,,,Tiere,,,64157
,,,,Affen,,64158
,,,,Bären,,64159
,,,,Elefanten,,64160
,,,,"Fische, Delfine & Wale",,64161
,,,,Füchse,,64162
,,,,Hasen,,64163
,,,,Hunde,,64164
,,,,Igel,,64165
,,,,Katzen,,64166
,,,,Raubtiere,,64167
,,,,Rehe,,64168
,,,,Vögel,,64169
,,,,Sonstige Haus- & Hoftiere,,64170
,,,,Sonstige Wald- & Feldtiere,,64171
,,,,Sonstige,,64172
,,,Werbe- & Filmartikel,,,64214
,,,Wolltiere,,,75736
,,,Zubehör,,,60835
,,,Sonstige,,,60836
,,Sonstige,,,,26484
,Antiquarische Bücher,,,,,29223
,Design & Stil,,,,,25757
,,"1890-1919, Jugendstil",,,,138767
,,,Bilder,,,138768
,,,Glas,,,138769
,,,Lampen & Leuchten,,,138770
,,,Metallobjekte,,,138771
,,,Mobiliar & Interieur,,,138772
,,,Porzellan & Keramik,,,138773
,,,Technik & Geräte,,,138774
,,,Textilien,,,138775
,,,Sonstige,,,25758
,,"1920-1949, Art Déco",,,,138776
,,,Bilder,,,138777
,,,Glas,,,138778
,,,Lampen & Leuchten,,,138779
,,,Metallobjekte,,,138780
,,,Mobiliar & Interieur,,,138781
,,,Porzellan & Keramik,,,138782
,,,Technik & Geräte,,,138783
,,,Textilien,,,138784
,,,Sonstige,,,25759
,,1950-1959,,,,138785
,,,Bilder,,,138786
,,,Glas,,,138787
,,,Lampen & Leuchten,,,138788
,,,Metallobjekte,,,138789
,,,Mobiliar & Interieur,,,138790
,,,Porzellan & Keramik,,,138791
,,,Technik & Geräte,,,138792
,,,Textilien,,,138793
,,,Sonstige,,,25760
,,1960-1969,,,,138794
,,,Bilder,,,138795
,,,Glas,,,138796
,,,Lampen & Leuchten,,,138797
,,,Metallobjekte,,,138798
,,,Mobiliar & Interieur,,,138799
,,,Porzellan & Keramik,,,138800
,,,Technik & Geräte,,,138801
,,,Textilien,,,138802
,,,Sonstige,,,25761
,,1970-1979,,,,138803
,,,Bilder,,,138804
,,,Glas,,,138811
,,,Lampen & Leuchten,,,138805
,,,Metallobjekte,,,138806
,,,Mobiliar & Interieur,,,138807
,,,Porzellan & Keramik,,,138808
,,,Technik & Geräte,,,138809
,,,Textilien,,,138810
,,,Sonstige,,,25762
,,1980-1989,,,,25763
,,1990-1999,,,,25764
,,Ab 2000,,,,138812
,,,Bilder,,,138813
,,,Glas,,,138814
,,,Lampen & Leuchten,,,138815
,,,Metallobjekte,,,138816
,,,Mobiliar & Interieur,,,138817
,,,Porzellan & Keramik,,,138818
,,,Technik & Geräte,,,138819
,,,Textilien,,,138820
,,,Sonstige,,,37089
,Glas & Kristall,,,,,7478
,,Antikglas,,,,2205
,,Dekorglas,,,,24293
,,,Andenkenglas,,,24294
,,,Briefbeschwerer,,,2742
,,,Figuren,,,24295
,,,Glocken,,,24296
,,,Kerzenhalter & Leuchter,,,24297
,,,Kunstglas,,,24298
,,,Vasen,,,24309
,,,Sonstige,,,24310
,,Gebrauchsglas,,,,7479
,,Glasfiguren,,,,7480
,,Glasmalerei,,,,184436
,,Sammlerglas,,,,60863
,,,Vor 1700,,,60864
,,,1700-1799,,,60865
,,,1800-1899,,,60866
,,,1900-1970,,,7481
,,,Modern,,,60867
,,Kristall,,,,78331
,,,Dekoration,,,78333
,,,Gläser,,,78334
,,,Leuchter & Kerzenständer,,,78335
,,,Karaffen,,,78336
,,,Schüsseln & Schalen,,,78337
,,,Teller & Platten,,,78338
,,,Vasen,,,78339
,,,Sonstige,,,7482
,,Murano-Glas,,,,92968
,,Sonstige,,,,7484
,Handschriften-Manuskripte,,,,,23048
,Haushalt,,,,,19355
,,Brotschneidemaschinen,,,,39146
,,Backformen,,,,54944
,,Bügeleisen,,,,19356
,,Fleischwölfe,,,,39147
,,Haarföne,,,,19357
,,Kaffeemühlen,,,,19358
,,Kaffeemaschinen,,,,25765
,,Messer,,,,27495
,,Nähmaschinen,,,,19359
,,Nähutensilien,,,,113
,,,Fingerhüte,,,116
,,,"Garne, Bordüren & Bänder",,,159309
,,,Knöpfe,,,115
,,,Nadelkissen,,,39148
,,,Scheren,,,34444
,,,Stopfeier,,,35415
,,,Sonstige,,,114
,,Rasierapparate & Rasierer,,,,25766
,,Taschenlampen,,,,34423
,,Textilien & Weißwäsche,,,,30636
,,,Bänder,,,160265
,,,Borten,,,160266
,,,Dekorationsstoffe,,,30638
,,,Gardinen & Behänge,,,30639
,,,Leibwäsche,,,30641
,,,Spitzen,,,160267
,,,Tischwäsche,,,92975
,,,,Läufer,,92976
,,,,Servietten,,92977
,,,,Tischdecken,,92978
,,,,,Rechteckig,30642
,,,,,Rund,92979
,,,,,Oval,92980
,,,,Sonstige,,92981
,,,Weißwäsche,,,78372
,,,,Bett- & Badwäsche,,30637
,,,,Küchenwäsche,,30640
,,,Sonstige,,,2220
,,Toaster,,,,19360
,,Töpfe & Schüsseln,,,,70125
,,Ventilatoren,,,,27491
,,Waffeleisen,,,,25767
,,Waagen,,,,64537
,,Sonstige,,,,19361
,Historische Baustoffe,,,,,19334
,,Bauelemente,,,,25755
,,,"Original, vor 1960 gefertigt",,,147996
,,,,Bad & Sanitär,,21600
,,,,"Boden, Decke & Wand",,21616
,,,,Briefkästen,,33148
,,,,Dachdeckungen,,21602
,,,,Fenster,,21614
,,,,Gitter,,39075
,,,,Hausnummern,,64258
,,,,"Haustechnik, Elektrik",,90997
,,,,Säulen,,21598
,,,,Schlüssel & Schlösser,,19369
,,,,Tore,,21599
,,,,Treppen,,19341
,,,,Türen,,19338
,,,,Tür- & Fensterbeschläge,,21613
,,,,Türklingeln & -klopfer,,64259
,,,,Zäune,,21605
,,,,Sonstige,,19342
,,,Nostalgie- & Neuware,,,147982
,,,,Bad & Sanitär,,147983
,,,,"Boden, Decke & Wand",,90996
,,,,Briefkästen,,147984
,,,,Dachdeckungen,,147985
,,,,Fenster,,147986
,,,,Gitter,,147987
,,,,Hausnummern,,147988
,,,,"Haustechnik, Elektrik",,147989
,,,,Säulen,,147990
,,,,Schlüssel & Schlösser,,147991
,,,,Tore,,147992
,,,,Treppen,,147993
,,,,Türen,,147994
,,,,Tür- & Fensterbeschläge,,147995
,,,,Türklingeln & -klopfer,,147997
,,,,Wetterhähne,,21609
,,,,Zäune,,147998
,,,,Sonstige,,147999
,,Garten- & Parkeinrichtung,,,,39077
,,,"Original, vor 1960 gefertigt",,,148007
,,,,"Amphoren, Töpfe & Vasen",,54810
,,,,Blumenkästen,,54811
,,,,Brunnen,,21612
,,,,Figuren & Skulpturen,,39078
,,,,Gartengeräte,,39079
,,,,Gartenmöbel,,39080
,,,,Grabsteine,,57565
,,,,Gießkannen,,54812
,,,,Pergolen & Spaliere,,148008
,,,,Pflanzschalen & -gefäße,,54813
,,,,Wegebau,,86142
,,,,Zäune,,148009
,,,,Sonstige,,19339
,,,Nostalgie- & Neuware,,,148010
,,,,"Amphoren, Töpfe & Vasen",,148011
,,,,Blumenkästen,,148012
,,,,Brunnen,,148013
,,,,Figuren & Skulpturen,,148014
,,,,Gartenmöbel,,148015
,,,,Grabsteine,,148016
,,,,Gießkannen,,148017
,,,,Pergolen & Spaliere,,148018
,,,,Pflanzschalen & -gefäße,,148019
,,,,Vogelhäuser & -tränken,,148020
,,,,Wegebau,,148021
,,,,Zäune,,148022
,,,,Sonstige,,148023
,,"Kamine, Öfen & Herde",,,,32409
,,,"Original, vor 1960 gefertigt",,,148000
,,,,Gussöfen,,34421
,,,,Herde,,21615
,,,,Kachelöfen & Ofenkacheln,,19340
,,,,Kamine & -umrandungen,,32410
,,,,Sonstige,,34422
,,,Nostalgie- & Neuware,,,148001
,,,,Gussöfen,,148002
,,,,Herde,,148003
,,,,Kachelöfen,,148004
,,,,Kamine & -umrandungen,,148005
,,,,Sonstige,,148006
,Holz- & Beinarbeiten,,,,,58872
,,Holzarbeiten,,,,58873
,,,Antike Originale vor 1945,,,58874
,,,Entstehungszeit nach 1945,,,58875
,,Beinarbeiten,,,,58876
,,,Antike Originale vor 1945,,,58877
,,,Entstehungszeit nach 1945,,,58879
,Inkunabeln,,,,,22422
,Internationale Antiq. & Kunst,,,,,7485
,,Afrika,,,,54814
,,,Antike Originale vor 1945,,,54815
,,,Entstehungszeit nach 1945,,,58851
,,,,Masken,,58852
,,,,Malerei,,68159
,,,,Tierfiguren,,58853
,,,,Figuren,,58854
,,,,Schmuck,,58855
,,,,Möbel,,58856
,,,,Schalen,,58857
,,,,Schatullen,,58858
,,,,Vasen & Raumaccessoires,,78374
,,,,Sonstige,,4171
,,Ägypten,,,,58847
,,,Antike Originale vor 1945,,,58848
,,,Entstehungszeit nach 1945,,,68153
,,,,Papyrus,,78373
,,,,Figuren,,68157
,,,,Schmuck,,68158
,,,,Sonstige,,19370
,,Asiatika: China,,,,27496
,,,Antike Originale vor 1945,,,42690
,,,Entstehungszeit nach 1945,,,42680
,,,,Jade,,33136
,,,,Kunsthandwerk,,42688
,,,,Malereien & Holzschnitte,,42689
,,,,Metallarbeiten,,42684
,,,,Möbel,,42685
,,,,Porzellan,,42686
,,,,Skulpturen,,42687
,,,,Snuff Bottles,,42681
,,,,Sonstige,,27497
,,Asiatika: Indien & Himalaya,,,,42682
,,,Antike Originale vor 1945,,,148024
,,,Entstehungszeit nach 1945,,,148025
,,,,Skulpturen,,42691
,,,,Malereien & Thangka,,42692
,,,,Kultobjekte & Sakrales,,42683
,,,,Sonstige,,27498
,,Asiatika: Japan,,,,42693
,,,Antike Originale vor 1945,,,148026
,,,Entstehungszeit nach 1945,,,148027
,,,,Holzschnitte & Malereien,,42694
,,,,Kunsthandwerk,,42695
,,,,Netsuke & Sagemono,,42696
,,,,Skulpturen & Bronzen,,42697
,,,,"Tsuba, Rüstzeug & Zierat",,42698
,,,,Sonstige,,27499
,,Asiatika: Südostasien,,,,42699
,,,Antike Originale vor 1945,,,148028
,,,Entstehungszeit nach 1945,,,148029
,,,,Kultobjekte & Sakrales,,42700
,,,,Malereien,,42701
,,,,Porzellan & Keramik,,42702
,,,,Skulpturen,,27500
,,,,Sonstige,,27501
,,Asiatika: Sonstige,,,,2194
,,Australien & Südsee,,,,19371
,,Islamische Kunst,,,,58849
,,,Antike Originale vor 1945,,,58850
,,,Entstehungszeit nach 1945,,,19372
,,Mittel- & Südamerika,,,,19373
,,Nordamerika,,,,107830
,,,Antike Originale vor 1945,,,107831
,,,Entstehungszeit nach 1945,,,19374
,,Sonstige,,,,7486
,Jagd & Fischen,,,,,113455
,,Objekte vor 1945,,,,113456
,,Objekte ab 1945,,,,7523
,Kleidung & Access. vor 1900,,,,,182407
,,Accessoires,,,,14061
,,,Brillen & Sehhilfen,,,4086
,,,Fächer,,,182404
,,,Geldbörsen & Handtaschen,,,182405
,,,Gürtel & Gürtelschnallen,,,182406
,,,Handschuhe,,,14075
,,,Hüte & Kopfbedeckungen,,,23114
,,,Schals & Tücher,,,14078
,,,Schirme,,,182401
,,,Spazierstöcke,,,182402
,,,Taschen & Leder,,,23116
,,,Taschentücher,,,182403
,,,Sonstige,,,23121
,,Kleidung,,,,23105
,,,Damenkleidung,,,23106
,,,Herrenkleidung,,,23107
,,,Kinderkleidung,,,23108
,,,Pelze,,,25781
,,Sonstige,,,,86170
,Kunst,,,,,550
,,Collagen & Mixed Media Kunst,,,,554
,,Fotokunst,,,,2211
,,Kunstdrucke,,,,360
,,Kunsthandwerk,,,,39090
,,Kunstplakate,,,,28009
,,Kunstskulpturen,,,,553
,,Malerei,,,,551
,,Miniaturen & Silhouetten,,,,57592
,,Zeichnungen,,,,552
,,Sonstige,,,,20158
,Landkarten,,,,,37958
,,Vor 1860,,,,68168
,,1860-1944,,,,68169
,,Ab 1945,,,,68170
,Metallobjekte,,,,,1211
,,Bronze,,,,113451
,,,Antike Originale vor 1945,,,113452
,,,Gefertigt nach 1945,,,1212
,,Eisen,,,,44562
,,,Antike Originale vor 1945,,,122987
,,,Gefertigt nach 1945,,,122988
,,,,Gusseisen,,19396
,,,,Schmiedeeisen,,44563
,,Emailwaren,,,,135752
,,,Antike Originale vor 1945,,,19397
,,,Gefertigt nach 1945,,,135753
,,Kupfer,,,,113453
,,,Antike Originale vor 1945,,,113454
,,,Gefertigt nach 1945,,,1213
,,Messing,,,,58891
,,,Antike Originale vor 1945,,,115285
,,,Gefertigt nach 1945,,,115286
,,,,Becher & Pokale,,58892
,,,,Glocken,,148050
,,,,Kaffee- & Teegeschirr,,58893
,,,,Kannen & Flaschen,,58894
,,,,Krüge & Humpen,,58895
,,,,Leuchter & Kandelaber,,58896
,,,,Löffel,,58897
,,,,Lots & Sammlungen,,58898
,,,,Mörser,,148051
,,,,Schalen & Schüsseln,,58899
,,,,"Teller, Tabletts & Platten",,58900
,,,,Vasen,,148052
,,,,Zier- & Vitrinenobjekte,,58901
,,,,Sonstige,,4175
,,Zinn,,,,44564
,,,Antike Originale vor 1945,,,113449
,,,Gefertigt nach 1945,,,113450
,,,,Becher & Pokale,,44565
,,,,Kaffee- & Teegeschirr,,44566
,,,,Kannen & Flaschen,,44567
,,,,Krüge & Humpen,,44568
,,,,Leuchter & Kandelaber,,44569
,,,,Löffel,,44570
,,,,Lots & Sammlungen,,44571
,,,,Schalen & Schüsseln,,44572
,,,,"Teller, Tabletts & Platten",,44573
,,,,Zier- & Vitrinenobjekte,,44574
,,,,Sonstige,,1214
,,Sonstige,,,,358
,Mobiliar & Interieur,,,,,7491
,,Mobiliar vor 1900,,,,39111
,,,Vor 1700,,,39112
,,,1700-1799,,,39113
,,,1800-1849,,,39114
,,,1850-1899,,,157630
,,,,Kommoden & Büffets,,167399
,,,,Schränke,,1221
,,,,Stühle,,157631
,,,,Tische,,157632
,,,,Sonstige,,157633
,,Betten & Wiegen,,,,57602
,,,Antike Originale vor 1945,,,39094
,,,Stilmöbel nach 1945,,,57603
,,Kleinmöbel & Raumaccessoires,,,,39095
,,,Antike Originale vor 1945,,,125774
,,,,Blumenständer,,39096
,,,,Garderoben,,121481
,,,,Koffer,,58867
,,,,Konsolen,,58868
,,,,Nähtische & -kästen,,39097
,,,,Paravents & Raumteiler,,39098
,,,,Pflanzkästen,,58869
,,,,Setzkästen,,39099
,,,,Spieltische,,39100
,,,,Tabletts,,39101
,,,,Sonstige,,39102
,,,Stilmöbel nach 1945,,,125775
,,,,Blumenständer,,125776
,,,,Garderoben,,130929
,,,,Koffer,,125777
,,,,Konsolen,,125778
,,,,Nähtische & -kästen,,125779
,,,,Paravents & Raumteiler,,125780
,,,,Pflanzkästen,,125781
,,,,Setzkästen,,125782
,,,,Spieltische,,125783
,,,,Tabletts,,125784
,,,,Sonstige,,125785
,,Kommoden,,,,68162
,,,Antike Originale vor 1945,,,125786
,,,,Art Déco,,81923
,,,,Barock,,68163
,,,,Biedermeier & Empire,,81924
,,,,Gründerzeit & Historismus,,68164
,,,,Jugendstil,,68165
,,,,Sonstige,,39103
,,,Stilmöbel nach 1945,,,125787
,,,,Art Déco,,125788
,,,,Barock & Rokoko,,125789
,,,,Empire & Biedermeier,,125790
,,,,Gründerzeit / Historismus,,125791
,,,,Jugendstil,,125792
,,,,Louis Seize,,125793
,,,,Sonstige,,125794
,,Kompletteinrichtungen,,,,39104
,,,Büro,,,39105
,,,Herrenzimmer,,,39106
